City,State,Year 2017,Year 2018
West Sacramento city, California,53324,53727
Yucaipa city, California,53556,53682
Bellevue city, Nebraska,53487,53627
DeSoto city, Texas,53660,53523
Apopka city, Florida,52123,53489
Hoboken city, New Jersey,53668,53455
Peabody city, Massachusetts,53008,53278
Palm Desert city, California,52802,53185
Wheaton city, Illinois,53396,53150
Milford city (balance), Connecticut,52826,53120
Pinellas Park city, Florida,52804,53098
Delano city, California,52914,53014
West New York town, New Jersey,52733,52990
Pensacola city, Florida,52516,52713
Olympia city, Washington,51664,52555
Edina city, Minnesota,51796,52490
Elkhart city, Indiana,52415,52367
Oak Park village, Illinois,52191,52265
Glendora city, California,52068,52002
Perth Amboy city, New Jersey,51871,51928
Burien city, Washington,52050,51908
Kentwood city, Michigan,51784,51868
Aliso Viejo city, California,51492,51783
Summerville town, South Carolina,51330,51692
Placentia city, California,51982,51671
Logan city, Utah,51172,51619
Wylie city, Texas,49957,51585
La Crosse city, Wisconsin,51751,51567
Grand Island city, Nebraska,51267,51478
Coeur d'Alene city, Idaho,50632,51303
Florissant city, Missouri,51439,51272
Battle Creek city, Michigan,51329,51247
Hoffman Estates village, Illinois,51505,51197
Bentonville city, Arkansas,49341,51111
Coral Gables city, Florida,51171,50999
Smyrna town, Tennessee,49916,50775
Lacey city, Washington,49700,50718
Methuen Town city, Massachusetts,50334,50698
Plainfield city, New Jersey,50527,50693
Joplin city, Missouri,50467,50657
Collierville town, Tennessee,50231,50616
Cerritos city, California,50792,50462
Galveston city, Texas,50434,50457
Madison city, Alabama,49151,50440
Stillwater city, Oklahoma,49999,50391
Little Elm city, Texas,46504,50314
Lakewood city, Ohio,50244,50100
Newark city, Ohio,49485,50029
Maricopa city, Arizona,48005,50024
Enid city, Oklahoma,50052,49585
Troy city, New York,49433,49374
Saginaw city, Michigan,48716,48323
Niagara Falls city, New York,48374,48144
Charleston city, West Virginia,48028,47215
