,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
373,"Clinton, IA Micro Area",49074,49010,47587,50295
374,"Clovis, NM Micro Area",48101,41250,50283,41941
375,"Coamo, PR Micro Area",71596,15090,39796,19110
376,"Coeur d'Alene, ID Metro Area",139083,49151,150128,53189
377,"Coffeyville, KS Micro Area",35167,41073,33463,43977
378,"Coldwater, MI Micro Area",44920,42995,43543,48192
379,"College Station-Bryan, TX Metro Area",227843,38599,248554,45078
380,"Colorado Springs, CO Metro Area",645979,57549,698595,62751
381,"Columbia, MO Metro Area",173426,47383,174589,52005
382,"Columbia, SC Metro Area",767299,49200,808377,52728
383,"Columbus, GA-AL Metro Area",297618,41971,309979,44209
384,"Columbus, IN Metro Area",77297,54481,81024,57331
385,"Columbus, MS Micro Area",59584,37508,59558,43198
386,"Columbus, NE Micro Area",32195,51395,32875,58679
387,"Columbus, OH Metro Area",1840267,54628,2023695,60170
388,"Concord, NH Micro Area",146742,65487,147958,69856
389,"Connersville, IN Micro Area",24220,36602,23426,41476
390,"Cookeville, TN Micro Area",105738,33982,109133,36898
391,"Coos Bay, OR Micro Area",62937,37853,62921,40848
392,"Cordele, GA Micro Area",23460,32320,23005,33194
393,"Corinth, MS Micro Area",37027,32846,37242,38919
394,"Cornelia, GA Micro Area",43038,41894,43878,44474
395,"Corning, NY Micro Area",98992,46519,97539,50157
396,"Corpus Christi, TX Metro Area",429311,47108,450183,52883
397,"Corsicana, TX Micro Area",47739,41511,48239,45103
398,"Cortland, NY Micro Area",49453,47497,48334,52451
399,"Corvallis, OR Metro Area",85501,48635,88249,54682
400,"Coshocton, OH Micro Area",36880,41885,36602,43251
401,"Crawfordsville, IN Micro Area",38207,46026,38288,53075
402,"Crescent City, CA Micro Area",28496,39626,27442,41287
403,"Crestview-Fort Walton Beach-Destin, FL Metro Area",183400,54118,261048,57421
404,"Crossville, TN Micro Area",56144,37963,58178,40994
405,"Cullman, AL Micro Area",80403,39244,81703,40997
406,"Cumberland, MD-WV Metro Area",102694,37522,100012,42169
407,"Dallas-Fort Worth-Arlington, TX Metro Area",6400781,58190,7104415,63870
408,"Dalton, GA Metro Area",141787,40654,143407,43076
409,"Danville, IL Metro Area",81463,40961,79207,44930
410,"Danville, KY Micro Area",53116,37385,54186,39960
411,"Davenport-Moline-Rock Island, IA-IL Metro Area",379735,51005,383141,54629
412,"Dayton, OH Metro Area",842459,47421,800893,51204
